Feature,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
HRV_MeanNN,1.279420988065761e-63,1.5229062032939374e-97,1.996885445660934e-154,1.6325410216106078e-121,4.564189322444473e-123,3.559521024171952e-36,1.146003669877426e-136,2.41457583548319e-129,8.158987687204998e-226,7.741620402085943e-86,2.0508524915767198e-303,4.776426039421314e-157,1.0143444102322991e-86,4.067803551050081e-144,1.3733058545513002e-160,8.254392568117704e-73,3.8225477548682277e-174,1.7711965027128918e-122,1.1957523416216007e-147,2.7204048886791786e-80,8.773216128938666e-145,5.90393795188742e-167,7.285722094243525e-95,5.532518179767045e-136,0.044767704334768156,9.367179513708434e-96,4.45509081644158e-183,7.369898022487306e-241,2.0575632205697275e-118,1.1650067058509112e-132,5.327771228970477e-49,4.641075614817986e-65,7.429987519033055e-208,2.696702224215478e-126,6.409571888148406e-67,3.6026902906489844e-172,8.123571304085636e-106,6.021305675767273e-138,4.045558144742931e-139,3.979222668321573e-95,7.260179842944491e-126,3.7671298478254634e-154,1.0851186834371603e-174,3.874036127195984e-117,8.508434736392304e-128,2.4893084119652524e-135,1.8244904226228605e-142,1.0363928289457537e-122,2.9810782639146296e-122,6.893793988311076e-93
HRV_SDNN,0.002353811430751517,5.136642626947277e-05,4.231662730333471e-36,1.8311828345378396e-13,2.908331450190299e-28,0.9999467732290983,4.291882382719679e-38,1.7331462697150068e-45,0.7225783689518701,0.8193661676111472,3.373972653016876e-08,2.0739996888584353e-16,0.9952191611488409,5.265790933591299e-28,8.162916404196467e-17,3.255140875981671e-16,7.003039773875847e-21,0.44649203517435526,1.1145351625552524e-11,0.9995403271631761,0.024293362918991115,4.580072586564961e-18,0.2544584392569992,1.3945847810486548e-62,0.9688892249774093,2.161889641602763e-10,5.636555837418139e-22,2.0395835907773343e-30,0.10118421320870746,1.64459938904085e-14,0.9157946573696757,0.00012347881749861437,3.2192371622465925e-50,2.3341181496725905e-22,0.9634740977145856,0.006378906078718269,0.4468288069996229,0.005116888369216616,1.1967808192080394e-05,1.6748655720161208e-06,0.9957491695235335,3.7569158814659216e-15,0.8525342406470908,1.448985344620851e-11,0.0018690161421473942,0.999986007073712,1.8863807705910648e-05,1.0249826970278906e-28,1.0,0.9982824840499526
HRV_LFn,1.0272891628982524e-06,0.6108570952593705,7.081239031238567e-22,5.775362168112167e-10,1.040685924749397e-14,0.01580561136374718,3.1865195658298845e-16,1.502058187390397e-11,3.909549339330139e-06,0.9713473607066172,0.4111886870825371,5.256876251501467e-06,0.04044017951481455,7.567475039041893e-08,0.9823048539614749,0.9999999999993816,1.3356667951607634e-06,0.002343084144232426,1.1293296095457979e-10,0.2661671031913165,0.003147441766189296,2.1771320261968078e-16,0.03169139889406604,2.1669179521317613e-06,1.8240962112500384e-06,0.00013660037455656652,1.3727811091606103e-09,1.406960751520569e-20,0.004384731608097463,0.00026880447224563223,0.7493824978169321,9.736639510457205e-06,5.0057866132051285e-06,3.1519245453601533e-07,0.3735497097213859,0.39064605625060456,5.898841770707507e-05,1.0295556068123033e-06,0.02241086685539835,0.002168652117057896,0.3612190359772909,0.00018996781854856102,0.8519808114684397,5.1193737549463644e-05,7.384234226997194e-05,0.20407964710485282,1.299867678505439e-07,6.721939734577449e-07,0.9482658361516109,0.0018841894290821206
HRV_HFn,2.9862285562640435e-05,0.1393085286951651,5.094981774682214e-25,8.233390413335772e-13,1.7906753740679522e-17,0.03815414819334604,3.024608042083491e-10,1.2855704231691734e-16,0.9396507140573377,0.9992872412354823,0.9831825566572799,0.0030412532303273157,0.9326703620042855,6.688393649917654e-08,0.9999993368674914,0.7758504683110989,0.9985451205925706,0.9932965662983094,0.00012138751022355153,0.9999990274381713,0.9971131742635903,0.00012891709937064378,0.05029253711235743,1.9411213825500515e-11,0.0863238979988758,4.016930827491043e-07,0.12814374557118502,3.739435168376202e-26,0.9998021155124791,1.5374105685420507e-05,0.5102871122213944,7.041243448593475e-17,1.314189160232682e-15,0.07397865293247008,0.9999965348499202,0.0023079706480488515,5.458837475870326e-08,0.0022172686604324116,0.010905537362131446,0.0009212450026499791,0.9816254435579814,0.2917293913205426,0.9999999999994984,0.016718722491747474,0.5751489847394631,7.984611263472978e-12,8.467700506674749e-11,9.896894678055304e-12,1.0,0.41629143674249647
HRV_LFHF,0.5554198925609325,0.6931646274635304,1.6527600423757056e-71,0.0009382935716343114,2.0628280638616783e-43,0.007685161708701993,4.362874547281863e-49,0.16178428911743759,0.9996912993214392,0.9947534740787068,0.9999964076630807,0.677607096373662,0.9984340118560657,0.0050924235000343,0.9999999999999597,0.7303086708468173,3.0647601644008395e-06,0.9999967862724797,1.8720554132564426e-06,0.999999988095336,0.9999993024679759,8.614824494497212e-07,0.9999964993489183,0.03390555441882079,0.7397817957985071,4.6045842245352955e-06,0.9394492927170965,7.0911284456172835e-47,0.48402987019091825,0.08430400781617217,0.045675009138673964,4.341277520532781e-25,0.01794674731672219,0.9999996912337751,0.6036500359045691,0.014891905817047411,9.537081418781091e-18,1.7097147912660802e-07,0.2950542939345747,0.007686500432947416,0.9828636353860456,0.9999965050496149,0.999999628355613,0.08859266889824007,0.24350525390194883,7.753180459271973e-14,0.017455315877038066,0.4429630902271225,0.9999990317355704,0.07419718955672323
HRV_VLF,2.9272270998103928e-09,1.0738218901467526e-12,2.7516086838306524e-14,6.623483759640601e-18,6.3916240386726134e-12,0.22220631015628511,7.938970971256843e-08,7.826000608355405e-13,3.4014418386945333e-08,0.32455894002715924,9.228643407445504e-13,9.83146339474118e-06,1.873823336121933e-05,2.1212975309435374e-07,5.143815987128165e-06,0.023893410441025033,0.9215449363320151,0.0009884624811220735,5.320584418945578e-10,0.005223725389752721,0.0006567449542082028,1.0816565623360228e-12,9.450578643432129e-05,2.4768869994275357e-13,0.0024464185649898293,0.0014736772539118358,1.3268182514750074e-11,1.5531922075276833e-18,0.17349313299922048,4.212491126618911e-06,0.03690525949076821,0.00014736679939815708,1.7899905022438635e-10,8.176040550143606e-09,1.1056662888125625e-06,2.8317751863226846e-05,2.7525264042914673e-07,0.00035814346459149044,1.152648077519375e-09,0.00011121486108720578,0.06683696697095264,6.03142455960217e-06,0.011724150587005915,9.398999207794776e-07,4.7568055018191684e-11,0.03345300752936824,1.2299622860577166e-08,9.54471707591239e-07,0.0004714639324687929,0.010167301172122094
HRV_LF,0.0003843826431545984,0.014895066174577204,1.7333760128461084e-19,1.150504628592959e-10,0.00012980333983681155,0.9655546750651832,0.0013127969390504509,6.029825737020801e-09,0.9891821093786961,0.06563913651934614,0.12788091253507813,0.48283112154352026,0.9991633974887594,0.03692840914074158,0.0001425287836009705,0.9999999999909639,0.9170970422098774,0.922416638031643,5.750948736729259e-16,0.9997282690556623,0.998502922025389,8.627391609772103e-14,0.0008791021501978522,0.011236584756022225,0.04369698460436104,0.204800789202779,0.00013991321616686864,7.615185860486921e-13,0.08533318882185294,0.22899255036027938,0.015664620973298186,0.019389708459550882,2.340296749048236e-06,0.1295199794961131,0.9535732617432785,0.03214468723314676,0.04788103073970609,0.15416990826088375,6.471151126506697e-05,0.1405469638106622,0.9999926756319067,0.29093327903156807,0.022624561056216012,0.012154372091280558,0.591332394035923,0.9904449670686344,9.327617622806138e-06,4.545379041259034e-05,0.9999999999924205,0.6376465594286265
HRV_HF,0.0010390624021490956,0.003172232332838338,4.722693749605185e-14,5.638743859873155e-07,5.467269563793367e-10,0.9482540246198697,0.7684354187401685,1.2450988824449071e-17,0.9985581804862038,0.4846758691331511,0.9942134623235676,0.02665195290824226,0.9601621489620014,0.01991099822488248,0.7935600598233701,0.9973573264337783,0.25985598810562804,0.985942771315238,0.04724334723733557,0.9999999911065671,0.9995400256751915,0.024157041378422405,0.1506725974594707,1.172991479621391e-11,0.22442321554779138,0.1839828839614407,0.033538190024598964,0.00011190357539485787,0.585217155155706,0.04884826839166187,0.9954519012150701,8.17453020314122e-05,2.3864654488807194e-14,0.187838807330158,0.9999981189611251,0.9718742998024341,0.999700976561151,0.6714052174298258,0.19172844577259518,0.4794619546668942,0.999998829760378,0.6634798229716581,0.9978536635070999,0.6480779698037094,0.9378616503577946,0.9516711416474668,0.0013980068810689984,1.2536608662924907e-08,1.0,0.47688953751907937
HRV_ApEn,1.5989855507245316e-05,1.283679759580192e-05,1.3920618525173276e-12,1.2115265240058624e-06,8.48323010222071e-09,0.0003483726427988107,0.1357191460641508,1.4719939579346718e-15,0.003934122996455469,0.9747490750653823,0.905634351981222,0.22173970757330463,0.6318659866601621,8.54288221037859e-08,0.9881822729367178,9.982122516799158e-10,0.19623505611630704,0.009624469181445158,1.2510166642057997e-05,0.9780138265116729,0.1699280821270664,0.48265623267089586,0.9926135966437442,7.662286962644982e-13,0.235478009397237,0.0014820768294438098,1.0408859140629083e-05,1.777888183131076e-18,0.6737281125043606,0.01620558912131776,0.0042399255544634095,0.14983601319232176,2.750607414244394e-10,0.9999997339362957,0.04260588455187818,0.9894173987625996,2.534113958401299e-06,0.8971100852785884,0.13863623084917337,0.0008548850125415067,0.4261912178998817,0.14339487473331575,0.9936287355926555,0.9999985973566761,0.005824333270401987,0.029000298339200356,0.9999402608652195,2.160565236840778e-09,0.9926640274486868,0.9999975725644982
HRV_SampEn,0.00012293213534775074,1.1464187742081675e-07,4.993613204168397e-22,3.0173245082686957e-14,1.2660267764850583e-09,0.11992507058778364,0.9904354303889186,1.4002887677849815e-15,0.19268581771002374,0.9994420197110713,0.00010200584669741679,0.011341287202081336,0.007918546106752659,2.3690204363801966e-10,0.9624619017076582,9.004333161787774e-16,0.9999999916613971,1.8633091655360463e-07,1.3205664012436037e-07,0.5384359509458299,0.013179654216233485,0.9777290783845495,0.8258449088804225,2.4674219011523156e-23,0.11060788771979897,0.00031354435129158856,6.26745116906522e-09,1.3437481880498872e-21,0.42781998239236135,2.5609544420564312e-09,0.9999998632241384,1.405156711818902e-07,1.8607475258600175e-06,0.9362763034291326,0.520770626146925,0.33264357174344183,0.9999885968911103,0.3043683202799494,5.751265023037745e-05,7.1637795589236994e-09,2.52272462016988e-09,0.011250886045036438,0.3979646500215721,0.9999998576593071,0.00011221513783689815,0.4033607908710748,0.6917467644398794,1.0396725883475008e-15,0.9999999999996626,0.9980055955299204
