Feature,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
HRV_MeanNN,9.317761611760445e-171,1.7010018642595835e-237,5.265830984065061e-224,2.923825188291892e-267,7.170237088681132e-182,4.5089093190682455e-54,5.4824727761099637e-219,3.968379182687267e-183,0.0,8.472976276212476e-119,0.0,5.3375692617972006e-244,2.276566413607952e-138,3.910416065418138e-225,0.0,3.3804212606771498e-133,1.073231814975799e-258,2.330310490291668e-164,8.424620146190702e-231,1.1759107584180057e-143,3.73387098277201e-260,1.3216604550739697e-287,2.6221214232198306e-181,4.647080506641678e-189,5.776572366926434e-214,5.571689567106816e-167,6.309009842438871e-263,0.0,5.894426301903343e-181,1.0391139889859745e-188,7.4094630506164226e-87,2.0827829254416e-185,0.0,1.8332920594983013e-170,1.3300494087806826e-162,2.6196435577054523e-288,1.4772017834448234e-166,1.0645101629475371e-243,6.21948890614961e-191,1.0274943573707802e-142,2.9037682929392488e-223,6.338831564563625e-245,7.336176626839305e-242,1.1574269316908933e-148,2.2964666653822074e-210,1.8050726664732344e-232,1.971589708325018e-190,2.895655430803338e-235,6.349580826917198e-170,5.871330634146093e-179
HRV_SDNN,3.570225982812969e-45,1.4272145933110887e-49,1.3520287447561205e-70,1.1182719472968585e-102,4.17574887594284e-30,0.9926720395087828,1.595919752245745e-38,5.473318775765786e-56,1.8342407657941952e-96,0.9999996445492941,2.570561495840631e-35,1.0977477370910277e-52,0.04969354972716412,3.2851419627363227e-76,6.328979303588141e-110,3.106754239930346e-25,3.4780542533080616e-33,2.587987903063933e-17,1.5104186665862173e-29,5.6267210884155673e-05,8.61709399195737e-52,4.372040948944891e-75,4.348775599212466e-22,1.4024110580875862e-92,9.217326440877415e-25,6.920284689100702e-37,5.339116782532271e-47,7.481718871168536e-79,4.417233055683534e-16,9.310778502057354e-62,0.00024126046904443223,5.125497012911246e-36,1.3780668511728838e-83,2.5557505412940777e-65,7.524400413091962e-11,3.923691955565809e-20,0.8212866714364426,1.0931272568910646e-30,4.038924015433626e-33,2.605478013940046e-21,1.4618799923553783e-30,1.7701687264175185e-72,0.02925439084604203,4.937713525592967e-13,1.7131108682398723e-22,0.1903145558142944,6.467232984814495e-16,8.382749358221694e-85,0.9999927959744589,0.3785781478629249
HRV_LFn,2.1435067698695454e-11,0.13015933799419716,3.3323301747947485e-41,6.560133088794915e-20,4.9306159035832985e-15,0.000242154038708173,2.583434855985535e-12,6.960688364430595e-21,1.1990722096009682e-25,0.9999999482093502,0.0017238896364308244,1.718085974975703e-10,0.1173288225523653,3.0694923967411285e-15,0.9726593697802283,4.873939792722653e-08,1.2687365235500501e-11,0.0006278112259132238,1.7037003453346439e-15,0.031199843185759354,0.0008685194651694,7.409025294692805e-18,0.08930258008789486,1.4528224236480099e-12,9.392305425087271e-10,2.1055818295423635e-07,6.865043207990894e-28,2.5715010699986144e-28,0.2178897844474389,4.558670631508143e-05,2.2348742437606785e-05,2.8947158418779723e-14,1.0773409834483162e-14,0.0012123563165607543,0.052347981340602895,0.0908918563941398,6.218308799215865e-11,9.801662482773426e-06,0.03661482562937464,0.0004886898946805171,0.0006937066484529531,3.634691954443225e-06,0.9714830834125189,1.2697033831874375e-05,5.2474723208811515e-05,1.7833829358008966e-12,9.433232546856563e-12,3.4812716227691937e-16,0.9999435001723478,6.041495650978113e-15
HRV_HFn,1.7423305394054962e-12,0.001127731029696227,5.266351723065095e-51,4.963038644646531e-28,1.6992216808740758e-28,0.014672800098926292,1.872432954675433e-08,2.1618615427421032e-34,5.2152877730072407e-42,0.9999999999376877,0.745069100358396,1.83657525465925e-15,0.9990826583238055,6.352018656800656e-29,0.9999974991447742,3.302437814615024e-08,0.9999234301274744,0.6522391777674046,1.1063095653228259e-10,0.8586386871466444,0.0020667102128606547,1.9580272983965138e-14,0.0015336839741640158,1.797699596393191e-23,0.012685550602414934,1.6697999217443858e-08,4.23873510632524e-06,1.4565730971787136e-31,0.9991025974314879,5.643357733817986e-10,6.016326558630456e-10,6.651080989514965e-12,4.340161683053613e-22,0.00024005225573613673,0.9994324076842899,5.704825375122129e-05,1.061229656829657e-13,0.007643271768744658,0.00044683191718912675,1.8430934806061252e-08,0.2486824040346065,4.437612986051719e-08,0.9999999999997927,3.513952283330657e-08,0.2843562038284611,1.1519497019052016e-16,7.345908237680421e-29,2.9354452063429085e-26,0.999999999999995,0.9529582485876164
HRV_LFHF,0.8179157991728806,0.4999488987288804,1.260499776055409e-116,5.236849229626058e-10,5.2517769943574234e-48,4.7136540492309774e-09,5.717978404447475e-52,0.10210550376624532,0.03698266689607221,0.9984005634784219,0.9999901532843531,0.39749363192557746,0.999999994987564,7.31694429609785e-12,0.9999999999999977,3.884552508025796e-07,1.2600948168807163e-09,0.9998642074269933,7.410109084573218e-23,0.999979479075501,0.9998471775723066,2.5407792594663733e-11,0.9999999249705892,4.279108095014701e-06,0.6439834197000343,3.3332492937323144e-09,0.869377995869947,1.903801515257062e-54,0.377639593237273,0.076923671376563,0.00029966425216858874,6.128002471757655e-18,0.2871740916666986,0.9999999999594646,0.9999945484644593,0.0005241431756101084,6.889843199006866e-71,7.69585263342097e-09,0.11862703514393416,0.0023452599092952152,0.9949750635762906,0.9998374812932289,0.9999989379537991,9.587459987346175e-07,0.2249171714930217,2.664256385444704e-52,4.196026775316317e-06,0.018801227914336045,0.999985457467601,0.09099504967980895
HRV_VLF,7.562435526843512e-10,3.728160403506055e-11,2.6272185548006796e-38,1.5742307180355261e-15,5.672046042723553e-20,5.5929761701884464e-06,2.4781307560517016e-09,5.836855629872747e-15,1.8113449020598052e-20,0.5477867554825671,5.6061131317983356e-15,9.590955445208515e-08,7.252247731087929e-08,3.5144378557190466e-20,6.856582387754258e-05,1.760523890853367e-08,0.9811580144778048,4.796782396826998e-11,5.754994578821152e-17,4.1165490382162197e-07,2.3385552504911017e-09,3.8688653441166656e-14,1.0274130268762386e-14,1.2947943661973074e-12,3.423523814005815e-09,3.335223353573768e-11,4.088580232816524e-12,1.3828624294652795e-28,0.15454216110206762,2.1596704590093355e-06,1.266695679551e-08,1.2214452978391e-16,1.1732890488949173e-16,3.667163671811727e-14,3.4530125615203963e-12,4.723985734407002e-15,4.4474048671674125e-08,7.452218996000838e-07,8.757981242543181e-08,2.6492537990575335e-08,5.48524557986186e-15,2.3497865178334084e-12,0.09379838892498985,4.3070971656804236e-11,7.069803597373132e-11,0.02026999837369241,8.364659035940294e-11,1.0560876585705381e-14,9.514119613524582e-09,2.9250320594700048e-12
HRV_LF,5.1705235292577044e-14,0.004656098203192266,8.412454001538182e-36,1.027996018459049e-15,7.701183917688955e-06,0.07689814282691837,2.5122152095137873e-05,3.0150484764676487e-15,1.104093907723113e-06,0.012257397680609015,0.0007148629026409041,0.024149545990129653,0.7305222174274069,0.0005308992534380335,1.6216782962700181e-06,0.0016055832844425106,0.8993072297293008,0.022532127511288746,4.1042223205375077e-16,0.08600503943633694,3.2776323112845544e-07,4.155621768588046e-23,4.339607028047531e-10,3.1723299767753935e-05,0.03377345892952598,0.15430669915254777,4.7988510282240005e-34,1.928891827751228e-16,1.4867707363216697e-05,0.023637009858694828,0.06169729440562044,1.5297964272898658e-11,4.818803119056838e-14,3.425266862924672e-21,1.5228089437518632e-05,0.001300662148020761,0.05339722461157036,1.0260676114719011e-05,1.6648726918561103e-06,0.0004702376690729094,1.699394651778213e-12,2.9910643276509225e-08,4.128581507544875e-07,9.415123022680508e-05,7.085005012843276e-06,0.0008468194825168441,6.0723367793224874e-06,1.370749845916008e-20,0.9975814370409732,0.49464756160581447
HRV_HF,6.719864255495101e-10,0.0009446315591862394,7.24433425146867e-18,6.570484785085284e-19,1.6214335643714e-09,0.9135641522597342,0.9013071964948636,6.325998106766221e-34,4.2002518579857894e-20,0.9999762758994308,0.9118042602308852,1.5020369013899646e-10,0.9383685383377113,5.007767181012168e-06,0.4637970767745426,0.02701464303288599,0.0067392516861986785,0.24125005952990802,0.09503992577234185,0.9759906671610931,0.03001280211350968,2.0466047350102498e-20,2.370692831944954e-06,4.980372505775156e-22,0.2774430552831564,1.733184152782474e-06,8.056773947644251e-09,0.060439778670039516,0.06810847223437148,7.754974800801838e-07,0.01009361366246352,0.000552881161852768,1.1358740033484646e-23,2.4137401322176845e-13,0.9967266415578979,0.9996197205381352,0.9998856377501439,7.968685184842632e-05,1.617551003652922e-05,0.013642221406229858,0.01608557724886108,2.7271406152565063e-06,0.9999768567325437,0.7064020118674332,0.9208264672569827,0.7354258050455116,0.00012295223978228353,2.5133536582357743e-10,0.9999999999998792,0.982191679673165
HRV_ApEn,0.03029572921283954,3.493235649750948e-05,1.85961250508868e-13,4.1803574952578426e-13,0.00017416520673629632,0.0014685203492848754,0.02503458296929605,2.1251838790587316e-10,0.04323754927963395,0.43439926126945594,0.9955098159550696,0.3691613577913746,0.9906089430378001,0.028921880305685713,0.999798542953412,4.668108020920063e-08,0.09313214268841738,0.0006570342103401297,1.1791821697788354e-06,0.0771054033074107,0.03987290940715431,0.076634399426609,0.8266814150320786,1.018138375879534e-11,0.10795695446988138,0.1515480768650598,1.9936572122563726e-06,4.578037055099301e-19,0.10320510533744569,6.5804626532706184e-06,0.012032896537951112,0.0017709203285899186,8.50509142696488e-08,0.9999999642060254,0.5098750519616045,0.9994040960149498,6.021867142442951e-09,0.6610581621131151,0.047710127853159146,4.579034750178141e-06,0.9999999999455961,0.982813151720163,0.9998039847234741,0.9979298420422746,0.003450072455702976,0.9846208213103959,0.9999999948671805,3.402254020977021e-05,0.9127781838734834,0.9999999999999886
HRV_SampEn,0.0006056792333421635,1.4785541002092804e-14,4.0148536893313524e-20,1.8739562506939547e-20,6.805629995742844e-08,0.0033613668870414327,0.9996908563847857,3.5183083819890617e-10,1.7378845440994267e-05,0.5543493594478253,0.27686138811793337,0.33168320608869595,0.796877296687516,3.313617049740206e-07,0.9973301073583973,4.3648170578686706e-12,0.9999999893487701,0.0006744403720581327,1.0647263474666882e-07,0.007236748042523201,0.00010322545685847817,0.9999999957644174,0.8226015326187783,2.4433108584412847e-26,0.7882871392757816,0.08120769273757933,0.0001638700942155756,5.618946311248338e-26,0.3958614873492472,6.620187748703339e-13,0.9999998748723219,5.405084350019093e-13,1.4946804116476885e-05,0.9998751856425488,0.0037606624467300225,0.1321548681315633,0.9999883116870492,0.006555401548903446,0.002442534451043448,8.577378498397007e-08,0.34281487461387256,0.9418260552506084,0.9942743886664356,0.9999999959398702,0.04727664009300945,0.0005002769725361598,0.8104616791805389,1.9953710896811867e-10,0.9727555053169203,1.0
