Feature,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
HRV_MeanNN,0.12204,0.11647,0.09571,0.12233,0.26414,0.49857,0.15489,0.08816,0.55898,0.23681,0.1078,0.28655,0.1319,0.26665,0.19363,0.86276,0.12874,0.03202,0.02434,0.62045,0.38739,0.09136,0.12967,0.50198,0.2484,0.3124,0.00564,0.14317,0.36171,0.23857,0.32883,0.45958,0.09596,0.3688,0.22968,0.2204,0.09004,0.12303,0.05642,0.1878,0.57628,0.26689,0.00962,0.28255,0.12699,0.57631,0.10151,0.21921,0.36663,0.39854
HRV_SDNN,0.12622,0.16699,0.30463,0.55101,0.30463,0.7528,0.52426,0.33873,0.71603,0.61126,0.49298,0.73348,0.62165,0.04941,0.81871,0.31747,0.42245,0.72644,0.7988,0.78727,0.81806,0.77798,0.27396,0.02954,0.57855,0.68803,0.67054,0.36426,0.76675,0.37983,0.68614,0.05444,0.47963,0.45667,0.79993,0.56251,0.69562,0.09907,0.24764,0.22361,0.78101,0.67496,0.80578,0.71468,0.49126,0.7845,0.40597,0.20177,0.86775,0.66182
HRV_LFn,0.01978,0.57383,0.22139,0.11493,0.37204,0.00214,0.26925,0.21754,0.02978,0.47236,0.39982,0.20459,0.07186,0.21914,0.70961,0.77658,0.30617,0.18703,0.21489,0.3321,0.10421,0.11628,0.31418,0.43374,0.04254,0.03491,0.26506,0.43783,0.31701,0.2644,0.52484,0.25313,0.08121,0.21707,0.39872,0.3932,0.30426,0.16377,0.46158,0.29761,0.25129,0.23539,0.45567,0.38097,0.00661,0.19196,0.46114,0.01119,0.46273,0.17601
HRV_HFn,0.43538,0.60916,0.16707,0.00851,0.24517,0.34791,0.09812,0.32062,0.37978,0.58099,0.51364,0.02317,0.38681,0.153,0.81655,0.58785,0.60303,0.59541,0.39258,0.71146,0.62421,0.42691,0.35663,0.0068,0.35107,0.12121,0.45845,0.37576,0.63987,0.13899,0.57914,0.04997,0.12889,0.55371,0.72608,0.35204,0.26267,0.335,0.52979,0.24131,0.52529,0.35768,0.71722,0.51904,0.27012,0.19051,0.06662,0.16075,0.84999,0.28864
HRV_LFHF,0.33493,0.63023,0.22068,0.01985,0.32212,0.27012,0.18016,0.34105,0.31538,0.59257,0.55565,0.11843,0.32664,0.06399,0.83693,0.6718,0.47383,0.55142,0.2856,0.66779,0.5761,0.32274,0.52726,0.03523,0.27337,0.09433,0.46644,0.40675,0.49993,0.15458,0.48593,0.18988,0.11101,0.64147,0.6543,0.42263,0.33962,0.29102,0.57363,0.33998,0.30497,0.51429,0.66206,0.53421,0.19109,0.12407,0.23057,0.11226,0.81356,0.15531
HRV_VLF,0.08744,0.11621,0.10711,0.04858,0.0089,0.17561,0.0871,0.08753,0.0156,0.22661,0.03468,0.24184,0.01788,0.09341,0.07559,0.18262,0.62136,0.08533,0.27712,0.11403,0.10375,0.10734,0.13377,0.10123,0.16367,0.08218,0.12213,0.05668,0.3844,0.10248,0.26384,0.21833,0.05122,0.00998,0.06887,0.02161,0.27844,0.30041,0.1563,0.06006,0.34567,0.04071,0.13977,0.05815,0.1304,0.01459,0.33987,0.12644,0.00995,0.14638
HRV_LF,0.27768,0.30468,0.04385,0.11606,0.36854,0.54938,0.2867,0.02066,0.56461,0.05743,0.30086,0.4878,0.56148,0.2996,0.10336,0.77426,0.75807,0.57451,0.19371,0.64688,0.66007,0.49228,0.08685,0.50568,0.26686,0.33155,0.36049,0.29967,0.00309,0.34239,0.1155,0.32485,0.15199,0.25608,0.66716,0.23339,0.38139,0.27501,0.31787,0.01877,0.5719,0.36267,0.27064,0.31524,0.47473,0.29627,0.39166,0.1145,0.78387,0.45536
HRV_HF,0.46453,0.42229,0.21786,0.08903,0.13069,0.42142,0.52794,0.31272,0.44123,0.25065,0.46556,0.08403,0.36962,0.13465,0.74323,0.3697,0.387,0.6004,0.30572,0.76387,0.63925,0.56165,0.29407,0.19641,0.33876,0.06137,0.46307,0.14355,0.35724,0.03447,0.48674,0.06996,0.09518,0.54303,0.74807,0.49807,0.58695,0.00897,0.45022,0.26812,0.60198,0.37328,0.58476,0.52215,0.30136,0.32938,0.12544,0.11264,0.84846,0.18917
HRV_ApEn,0.08692,0.0861,0.21316,0.28618,0.19143,0.02509,0.32282,0.02252,0.17534,0.3949,0.32555,0.12668,0.28951,0.23749,0.45062,0.03785,0.30497,0.20481,0.28772,0.46188,0.24069,0.39375,0.50659,0.09555,0.22731,0.21142,0.01198,0.03333,0.36584,0.23071,0.43081,0.37118,0.02999,0.67397,0.15808,0.28256,0.11222,0.1343,0.03978,0.10778,0.26191,0.20045,0.40467,0.7209,0.09164,0.12118,0.6977,0.09399,0.40426,0.61785
HRV_SampEn,0.1741,0.09654,0.1492,0.42568,0.44645,0.23434,0.64274,0.05967,0.28486,0.65846,0.21752,0.36895,0.22624,0.39917,0.54086,0.03884,0.7794,0.06349,0.18312,0.34271,0.06928,0.64536,0.48956,0.09505,0.39133,0.42566,0.1299,0.20149,0.32458,0.15864,0.78259,0.37518,0.27753,0.6229,0.28296,0.11679,0.73589,0.32048,0.09662,0.0177,0.07049,0.31837,0.38035,0.8004,0.16255,0.08703,0.73908,0.07422,0.77132,0.6463
