Feature,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
HRV_MeanNN,0.06475,0.10457,0.05041,0.09577,0.13853,0.55092,0.15111,0.04032,0.10993,0.24856,0.0339,0.12907,0.24611,0.3424,0.10295,0.0844,0.17121,0.32041,0.13746,0.26068,0.23825,0.04706,0.13244,0.28134,0.21035,0.21911,0.22288,0.05609,0.07426,0.20381,0.06893,0.12735,0.01325,0.13482,0.07425,0.13266,0.14647,0.08188,0.01297,0.11716,0.33673,0.14235,0.14074,0.31396,0.30902,0.0539,0.14928,0.00029,0.21995,0.20217
HRV_SDNN,0.48555,0.21138,0.55449,0.78664,0.43217,0.86107,0.64335,0.62094,0.79793,0.85295,0.66118,0.83036,0.68319,0.53902,0.86731,0.18999,0.45905,0.72085,0.8172,0.79985,0.8372,0.84912,0.60305,0.33363,0.79666,0.6424,0.76384,0.36964,0.76339,0.45124,0.19198,0.05494,0.53059,0.53444,0.84718,0.8131,0.80759,0.37017,0.55668,0.08824,0.85943,0.80587,0.82382,0.86796,0.69015,0.86781,0.423,0.66023,0.86677,0.64071
HRV_LFn,0.20985,0.75755,0.52167,0.21762,0.49166,0.1919,0.34793,0.29063,0.1527,0.81561,0.40177,0.21935,0.32997,0.50592,0.80842,0.18269,0.24874,0.135,0.32836,0.52279,0.3097,0.32501,0.60503,0.47494,0.01997,0.38423,0.30486,0.54009,0.70566,0.27846,0.22334,0.30312,0.06295,0.54585,0.62052,0.47347,0.42216,0.32023,0.65889,0.43311,0.57003,0.34329,0.58643,0.56186,0.16597,0.49439,0.53191,0.1935,0.70341,0.05124
HRV_HFn,0.56647,0.77185,0.29584,0.03729,0.40837,0.4868,0.24966,0.39471,0.07775,0.83232,0.58327,0.13393,0.62717,0.02979,0.83328,0.08485,0.64702,0.61501,0.58622,0.70678,0.50174,0.4276,0.55843,0.30422,0.30668,0.35591,0.52502,0.45812,0.71845,0.24021,0.04372,0.17136,0.23042,0.73595,0.80061,0.48552,0.33813,0.44765,0.59061,0.20339,0.69666,0.4467,0.76649,0.52654,0.41688,0.41139,0.1026,0.4117,0.84924,0.53055
HRV_LFHF,0.55989,0.78829,0.49372,0.09007,0.43646,0.47423,0.07118,0.4218,0.02303,0.83625,0.59178,0.15709,0.67246,0.14604,0.85858,0.08566,0.48661,0.55332,0.45126,0.68817,0.5173,0.24236,0.67246,0.40363,0.26338,0.38098,0.55864,0.46985,0.69909,0.31444,0.0038,0.09291,0.35348,0.78918,0.77577,0.52032,0.4496,0.41429,0.6063,0.40707,0.71596,0.47944,0.72158,0.5172,0.32287,0.54871,0.22988,0.18961,0.82537,0.34412
HRV_VLF,0.32315,0.19174,0.10963,0.07721,0.06958,0.03448,0.20986,0.05537,0.20801,0.39208,0.12882,0.26974,0.05821,0.08725,0.13705,0.13681,0.63355,0.05376,0.24524,0.1047,0.05202,0.07584,0.21765,0.19023,0.00715,0.08103,0.24369,0.01536,0.47111,0.05251,0.0114,0.08285,0.04555,0.19652,0.08339,0.0941,0.30974,0.12294,0.17114,0.05294,0.03859,0.14361,0.24515,0.09987,0.04798,0.53413,0.43096,0.24212,0.11711,0.07269
HRV_LF,0.18626,0.27266,0.33522,0.2295,0.38688,0.21012,0.2867,0.12476,0.56335,0.00295,0.42878,0.5014,0.48056,0.41456,0.20199,0.12341,0.76764,0.38849,0.14841,0.46982,0.38263,0.58634,0.05702,0.41846,0.48577,0.49799,0.30486,0.16123,0.44408,0.30893,0.29082,0.33631,0.09829,0.12571,0.55754,0.44994,0.38245,0.07659,0.61351,0.333,0.23187,0.35366,0.32131,0.37674,0.57928,0.18776,0.53931,0.03598,0.76607,0.54405
HRV_HF,0.52807,0.49962,0.123,0.11246,0.04115,0.43693,0.53467,0.32912,0.12486,0.70359,0.56448,0.06182,0.51155,0.00384,0.76744,0.02964,0.25394,0.57119,0.4957,0.68996,0.51438,0.59703,0.48703,0.08041,0.39202,0.11817,0.53435,0.348,0.37868,0.05349,0.01616,0.04941,0.16615,0.69603,0.79307,0.67886,0.67214,0.12944,0.35224,0.08361,0.48584,0.48074,0.69695,0.60245,0.54136,0.23315,0.12591,0.07448,0.85521,0.41641
HRV_ApEn,0.12509,0.18042,0.11255,0.1886,0.27814,0.07915,0.2717,0.12571,0.14892,0.09925,0.47413,0.23933,0.49486,0.62323,0.52424,0.07064,0.24231,0.16365,0.21013,0.11616,0.03841,0.30678,0.43977,0.18269,0.26086,0.36287,0.06518,0.08761,0.19235,0.01329,0.41151,0.43286,0.05463,0.72265,0.16944,0.31769,0.05573,0.02575,0.102,0.07378,0.73665,0.49338,0.45232,0.56754,0.12318,0.4135,0.77934,0.08965,0.26816,0.75537
HRV_SampEn,0.26883,0.08199,0.14294,0.26942,0.31119,0.20058,0.69846,0.10907,0.21314,0.4196,0.52704,0.5098,0.50718,0.66586,0.58806,0.1904,0.76519,0.31433,0.03813,0.19491,0.31432,0.80171,0.58322,0.13975,0.52277,0.53374,0.30833,0.1649,0.18359,0.05187,0.82493,0.49799,0.22002,0.74926,0.18629,0.03835,0.73583,0.17087,0.00827,0.11081,0.60651,0.72516,0.51462,0.83507,0.43989,0.13109,0.73024,0.06398,0.298,0.84779
HRV_DFA_alpha1,0.50338,0.79619,0.61624,0.31771,0.25104,0.56573,0.85214,0.41515,0.43964,0.81364,0.67805,0.38209,0.67246,0.79483,0.85746,0.05724,0.50804,0.66557,0.52889,0.79233,0.71906,0.55692,0.63941,0.45646,0.60012,0.11585,0.56081,0.48691,0.73051,0.05932,0.11595,0.34662,0.03894,0.69365,0.81569,0.72196,0.59463,0.39279,0.4481,0.36367,0.76016,0.77929,0.81347,0.81072,0.46096,0.12169,0.40051,0.07409,0.85782,0.44184
