Feature,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
HRV_MeanNN,0.19852,0.18933,0.31991,0.17489,0.00858,0.0,0.11956,0.41632,0.0,0.06438,0.11396,0.00332,0.1894,0.00605,0.03703,0.0,0.20021,0.74758,0.80214,0.0,3e-05,0.33146,0.18818,0.0,0.00432,0.00419,0.9505,0.05212,0.00034,0.01879,0.01086,0.0,0.27764,0.0013,0.03529,0.01265,0.29195,0.19094,0.60084,0.10386,0.0,0.00858,0.91296,0.00703,0.21824,0.0,0.28483,0.05764,0.0002,2e-05
HRV_SDNN,0.17589,0.05597,0.00081,0.0,0.00189,0.0,0.0,0.00168,0.0,0.0,0.0,0.0,0.0,0.59304,0.0,0.00134,1e-05,0.0,0.0,0.0,0.0,0.0,0.0039,0.74828,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.54931,0.0,2e-05,0.0,0.0,0.0,0.26422,0.01754,0.04549,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.04804,0.0,0.0
HRV_LFn,0.83203,0.0,0.01488,0.18177,0.00015,0.98345,0.00557,0.04366,0.63376,0.0002,0.0,0.03189,0.47238,0.01777,0.0,0.0,0.00154,0.0553,0.02177,0.00067,0.24972,0.20087,0.00093,0.0,0.6147,0.74189,0.00271,0.0,0.00152,0.00674,2e-05,0.00536,0.3436,0.04411,0.00014,0.0,0.0003,0.06496,1e-05,0.00777,0.00901,0.01587,0.0,0.00022,0.94549,0.02924,0.0,0.9127,0.0,0.05286
HRV_HFn,0.0,0.0,0.06609,0.92127,0.01241,0.00074,0.31241,0.00295,0.0,0.0,0.0,0.80796,0.00011,0.09792,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.00017,0.94113,3e-05,0.25282,0.0,0.0,0.0,0.15439,0.0,0.58256,0.1328,0.0,0.0,4e-05,0.00181,0.00016,0.0,0.0309,0.0,0.00025,0.0,0.0,0.0052,0.03048,0.47496,0.11525,0.0,0.0015
HRV_LFHF,0.00033,0.0,0.0152,0.81762,0.00102,0.00882,0.06361,0.00156,0.0,0.0,0.0,0.21419,0.00109,0.48882,0.0,0.0,0.0,0.0,0.00229,0.0,0.0,0.00039,0.0,0.70196,0.00122,0.37354,0.0,0.0,0.0,0.11319,9e-05,0.03674,0.19545,0.0,0.0,0.0,6e-05,0.00104,0.0,0.00236,0.00153,0.0,0.0,0.0,0.04808,0.15877,0.01341,0.27135,0.0,0.08755
HRV_VLF,0.3484,0.18349,0.23872,0.57245,0.92765,0.08865,0.36987,0.41698,0.80289,0.07437,0.60293,0.0112,0.8581,0.3123,0.39615,0.06513,0.0,0.38194,0.00309,0.24263,0.25183,0.23769,0.15873,0.27147,0.0528,0.43816,0.16706,0.42745,0.00012,0.29365,0.03341,0.01632,0.55028,0.92624,0.51117,0.80106,0.00095,0.00071,0.13383,0.59114,0.00033,0.67654,0.10832,0.57292,0.17738,0.86838,0.00027,0.21542,0.91841,0.10736
HRV_LF,0.0029,0.00049,0.62952,0.1775,0.00017,0.0,0.00316,0.84804,0.0,0.65111,1e-05,0.0,0.0,0.00119,0.24598,0.0,0.0,0.0,0.03862,0.0,0.0,0.0,0.36017,0.0,0.00159,0.00176,5e-05,3e-05,0.97531,0.00045,0.35174,0.00035,0.07631,0.01756,0.0,0.00649,1e-05,0.00194,0.0023,0.86669,0.0,0.0002,0.00187,0.00224,0.0,0.00077,3e-05,0.26192,0.0,0.0
HRV_HF,0.0,0.0,0.01655,0.30093,0.1826,4e-05,0.0,0.00373,0.0,0.04843,0.0,0.37817,0.00022,0.14527,0.0,0.00019,6e-05,0.0,0.0011,0.0,0.0,0.0,0.00195,0.03288,6e-05,0.56264,0.0,0.04447,0.00035,0.7239,9e-05,0.44159,0.26701,0.0,0.0,0.0,0.0,0.9195,2e-05,0.01648,0.0,0.00013,0.0,0.0,0.00182,0.00018,0.17858,0.26977,0.0,0.03744
HRV_ApEn,0.35128,0.32437,0.01904,0.00088,0.05092,0.80783,0.00089,0.83457,0.00502,0.00187,0.0,0.18397,0.00379,0.0102,0.0,0.7023,0.00161,0.03584,0.00213,0.0,0.00785,1e-05,0.0,0.2993,0.00716,0.0461,0.89217,0.6408,0.00025,0.01808,0.00051,4e-05,0.72655,0.0,0.13156,0.00098,0.18266,0.13016,0.70276,0.33502,0.00649,0.03998,0.0,0.0,0.34316,0.16873,0.0,0.35711,3e-05,0.0
HRV_SampEn,0.0619,0.26917,0.10076,0.0,1e-05,0.02309,0.0,0.58004,1e-05,0.0,0.0011,0.00011,0.02367,2e-05,0.0,0.69488,0.0,0.51534,0.05057,0.00045,0.44414,0.0,0.0,0.30181,0.0,6e-05,0.14164,0.00479,0.00117,0.10404,0.0,4e-05,0.00121,0.0,0.00695,0.17321,0.0,0.0003,0.35406,0.87424,0.46382,0.0011,1e-05,0.0,0.09268,0.32293,0.0,0.4671,0.0,0.0
