Feature,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
HRV_MeanNN,0.503,0.24613,0.60894,0.29016,0.17026,0.0,0.13075,0.72175,0.09407,0.05836,0.63249,0.19238,0.02024,0.00045,0.26749,0.43115,0.08378,0.0016,0.157,0.01106,0.01169,0.61222,0.19211,0.00377,0.01868,0.05147,0.01383,0.44796,0.46918,0.04816,0.60278,0.1797,0.87949,0.23679,0.49874,0.13187,0.09881,0.38617,0.9088,0.32697,0.00117,0.16754,0.1216,0.00423,0.00274,0.56667,0.1261,0.99797,0.03297,0.03397
HRV_SDNN,0.0,0.01721,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.55233,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.43875,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0
HRV_LFn,0.02636,0.0,0.0,0.01208,0.0,0.07023,0.00034,0.00737,0.01753,0.0,0.0,0.02201,0.00146,0.0,0.0,0.07973,0.01044,0.17486,0.00051,0.0,0.00073,0.00039,0.0,0.0,0.82126,0.00037,0.00062,0.0,0.0,0.00471,0.08363,0.00104,0.46456,0.0,0.0,0.0,0.0,0.00036,0.0,0.00014,0.0,0.00049,0.0,0.0,0.0921,0.0,0.0,0.06065,0.0,0.58431
HRV_HFn,0.0,0.0,0.00125,0.66714,4e-05,0.0,0.01016,0.00027,0.22647,0.0,0.0,0.16204,0.0,0.75042,0.0,0.41575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.00052,0.00096,0.0,0.0,0.0,0.01478,0.73489,0.0638,0.00742,0.0,0.0,0.0,9e-05,0.0,0.0,0.07431,0.0,1e-05,0.0,0.0,2e-05,1e-05,0.27758,7e-05,0.0,0.0
HRV_LFHF,0.0,0.0,0.0,0.29895,1e-05,1e-05,0.46367,0.0001,0.72018,0.0,0.0,0.10098,0.0,0.11892,0.0,0.4113,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,2e-05,0.00288,0.00041,0.0,0.0,0.0,0.00142,0.97651,0.31491,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.0,0.0,0.0,0.0,0.00105,0.0,0.01498,0.06601,0.0,0.00024
HRV_VLF,0.00063,0.03071,0.23171,0.37322,0.48225,0.74498,0.03072,0.60972,0.00121,0.0026,0.05833,0.00486,0.57457,0.35153,0.12698,0.18944,0.0,0.58897,0.00945,0.29997,0.57038,0.40803,0.02794,0.04135,0.93556,0.45241,0.00623,0.83062,0.0,0.59406,0.92961,0.37016,0.5966,0.07001,0.43407,0.27964,0.00034,0.17099,0.10447,0.64223,0.70103,0.145,0.00536,0.33811,0.62632,0.0,1e-05,0.0189,0.25119,0.43768
HRV_LF,0.0487,0.00212,0.00026,0.00813,9e-05,0.04745,0.00316,0.25006,0.0,0.98193,0.0,0.0,0.0,1e-05,0.02449,0.23651,0.0,9e-05,0.11628,0.0,3e-05,0.0,0.56473,1e-05,0.0,0.0,0.00062,0.02472,1e-05,0.00172,0.02428,0.00028,0.25343,0.24647,0.0,0.0,1e-05,0.39375,0.0,0.00348,0.02105,0.00033,0.00026,0.0003,0.0,0.03888,0.0,0.72723,0.0,0.0
HRV_HF,0.0,0.0,0.17966,0.19465,0.6777,4e-05,0.0,0.00241,0.05208,0.0,0.0,0.51863,0.0,0.9673,0.0,0.77622,0.00894,0.0,0.0,0.0,0.0,0.0,0.0,0.3885,1e-05,0.27313,0.0,0.0,0.00019,0.58724,0.90041,0.59304,0.05354,0.0,0.0,0.0,0.0,0.14949,0.00083,0.46314,0.0,0.0,0.0,0.0,0.0,0.01033,0.18268,0.47021,0.0,1e-05
HRV_ApEn,0.18556,0.04203,0.21953,0.02963,0.00497,0.45527,0.00515,0.24647,0.02052,0.44585,0.0,0.01246,0.0,0.0,0.0,0.49806,0.01261,0.10003,0.02616,0.25019,0.67523,0.00082,1e-05,0.0501,0.00316,0.00077,0.46438,0.22238,0.05816,0.8927,0.00143,0.0,0.52561,0.0,0.11196,0.00026,0.51883,0.77429,0.3332,0.51739,0.0,0.0,0.0,0.0,0.21124,1e-05,0.0,0.38474,0.0086,0.0
HRV_SampEn,0.00444,0.3555,0.11893,0.00189,0.00167,0.05846,0.0,0.3146,0.00091,0.00127,0.0,0.0,0.0,0.0,0.0,0.06781,0.0,0.00158,0.68655,0.05367,0.00061,0.0,0.0,0.13397,0.0,0.0,0.00054,0.02163,0.07059,0.59862,0.0,0.0,0.01057,0.0,0.08054,0.65948,0.0,0.05708,0.93746,0.33088,0.0,0.0,0.0,0.0,1e-05,0.14929,0.0,0.53505,0.0035,0.0
HRV_DFA_alpha1,0.0,0.0,0.0,0.00025,0.01123,0.0,0.0,0.00013,0.0,0.0,0.0,7e-05,0.0,0.0,0.0,0.58298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28267,0.0,0.0,0.0,0.54714,0.36912,0.00018,0.65096,0.0,0.0,0.0,0.0,1e-05,2e-05,0.00142,0.0,0.0,0.0,0.0,0.0,0.18071,2e-05,0.47253,0.0,0.0
HRV_DFA_alpha2,0.00027,0.91759,0.00024,0.0,0.0,0.0,0.0011,0.24826,0.0,0.0,0.0,0.0,0.0,0.21926,0.0,0.25068,0.77304,0.0,0.0,0.0,0.0,0.0,0.07277,7e-05,0.0,0.01073,0.0,0.15839,0.0,0.00084,0.90041,0.00579,0.00011,0.0,0.0,0.0,9e-05,1e-05,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.04213,0.0,0.0,0.0
HRV_SD1,0.0,0.0,0.00032,0.0,0.0024,0.0,0.0,0.00691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01461,0.0,0.0,0.0,0.0,0.0,0.02341,0.03399,0.00072,0.0,0.0,0.0,0.0,0.0,8e-05,0.69186,0.00157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07665,0.0,0.0
HRV_SD2,0.00159,0.02401,0.0,0.0,0.0,0.0,0.00496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,0.0,0.00043,0.0,0.0,0.35747,0.0,2e-05,0.95981,0.0,0.0,0.0,0.0,0.0,0.02433,0.0,0.0,0.0,0.0,0.0,0.0,0.01193,0.0,0.0,0.0
HRV_SD1SD2,0.0,0.0,0.0,0.99014,0.93747,0.0,0.0,0.76741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-05,0.0,0.0,0.0,0.0,0.0,0.04204,0.01394,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.00329,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00659,0.0,0.0
