,All Windows,method 1,method 2,method 3,method 4,method 5,method 6,method 7
Mean RR,0.987 ± 0.052,0.999 ± 0.003,0.999 ± 0.003,0.997 ± 0.007,0.993 ± 0.023,0.999 ± 0.004,1.000 ± 0.001,0.999 ± 0.003
SDNN,0.783 ± 0.211,0.933 ± 0.099,0.945 ± 0.076,0.830 ± 0.185,0.816 ± 0.180,0.938 ± 0.097,0.952 ± 0.068,0.959 ± 0.058
RMSSD,0.574 ± 0.248,0.749 ± 0.216,0.777 ± 0.195,0.614 ± 0.256,0.594 ± 0.251,0.713 ± 0.246,0.792 ± 0.184,0.817 ± 0.172
LFn,0.675 ± 0.222,0.835 ± 0.149,0.839 ± 0.135,0.718 ± 0.220,0.686 ± 0.228,0.852 ± 0.128,0.854 ± 0.133,0.852 ± 0.126
HFn,0.577 ± 0.240,0.753 ± 0.166,0.772 ± 0.166,0.628 ± 0.224,0.597 ± 0.236,0.779 ± 0.158,0.795 ± 0.155,0.798 ± 0.147
LF/HF,0.571 ± 0.287,0.726 ± 0.198,0.750 ± 0.201,0.604 ± 0.277,0.585 ± 0.260,0.777 ± 0.185,0.757 ± 0.203,0.761 ± 0.202
VLF,0.763 ± 0.133,0.872 ± 0.074,0.878 ± 0.072,0.806 ± 0.121,0.784 ± 0.123,0.884 ± 0.078,0.888 ± 0.061,0.889 ± 0.060
LF,0.622 ± 0.211,0.835 ± 0.132,0.855 ± 0.100,0.666 ± 0.226,0.633 ± 0.214,0.850 ± 0.122,0.885 ± 0.083,0.861 ± 0.099
HF,0.510 ± 0.231,0.733 ± 0.170,0.758 ± 0.152,0.574 ± 0.224,0.531 ± 0.225,0.752 ± 0.175,0.780 ± 0.154,0.797 ± 0.136
ApEn,0.610 ± 0.210,0.661 ± 0.206,0.664 ± 0.213,0.626 ± 0.195,0.626 ± 0.196,0.598 ± 0.215,0.663 ± 0.205,0.655 ± 0.207
SampEn,0.723 ± 0.154,0.770 ± 0.147,0.773 ± 0.140,0.718 ± 0.159,0.727 ± 0.152,0.718 ± 0.176,0.770 ± 0.146,0.769 ± 0.145
DFA α₁,0.604 ± 0.232,0.751 ± 0.195,0.772 ± 0.182,0.627 ± 0.240,0.613 ± 0.229,0.784 ± 0.172,0.782 ± 0.177,0.805 ± 0.167
DFA α₂,0.713 ± 0.184,0.902 ± 0.103,0.923 ± 0.082,0.783 ± 0.169,0.747 ± 0.184,0.914 ± 0.093,0.941 ± 0.068,0.932 ± 0.072
SD1,0.574 ± 0.248,0.749 ± 0.216,0.777 ± 0.195,0.614 ± 0.256,0.594 ± 0.251,0.713 ± 0.246,0.792 ± 0.184,0.818 ± 0.172
SD2,0.825 ± 0.201,0.969 ± 0.064,0.978 ± 0.035,0.875 ± 0.164,0.862 ± 0.164,0.974 ± 0.049,0.983 ± 0.028,0.983 ± 0.025
SD1/SD2,0.596 ± 0.232,0.758 ± 0.193,0.775 ± 0.179,0.637 ± 0.235,0.614 ± 0.241,0.773 ± 0.185,0.788 ± 0.179,0.817 ± 0.157
