,All Windows,method 1,method 2,method 3,method 4,method 5,method 6,method 7
Mean RR,0.991 ± 0.011,0.999 ± 0.005,0.999 ± 0.005,0.996 ± 0.008,0.995 ± 0.009,0.998 ± 0.008,1.000 ± 0.002,0.999 ± 0.004
SDNN,0.844 ± 0.152,0.940 ± 0.080,0.941 ± 0.080,0.857 ± 0.151,0.849 ± 0.150,0.933 ± 0.101,0.947 ± 0.071,0.952 ± 0.066
RMSSD,0.673 ± 0.217,0.777 ± 0.198,0.793 ± 0.188,0.689 ± 0.221,0.674 ± 0.226,0.745 ± 0.219,0.805 ± 0.182,0.808 ± 0.181
LFn,0.675 ± 0.212,0.824 ± 0.158,0.830 ± 0.142,0.714 ± 0.215,0.688 ± 0.216,0.841 ± 0.131,0.845 ± 0.134,0.844 ± 0.129
HFn,0.597 ± 0.231,0.758 ± 0.167,0.777 ± 0.156,0.634 ± 0.222,0.610 ± 0.226,0.788 ± 0.150,0.795 ± 0.157,0.797 ± 0.150
LF/HF,0.608 ± 0.231,0.762 ± 0.180,0.774 ± 0.178,0.639 ± 0.225,0.618 ± 0.223,0.790 ± 0.167,0.790 ± 0.171,0.793 ± 0.172
VLF,0.764 ± 0.126,0.870 ± 0.070,0.869 ± 0.070,0.801 ± 0.122,0.783 ± 0.118,0.875 ± 0.078,0.882 ± 0.061,0.876 ± 0.068
LF,0.702 ± 0.168,0.860 ± 0.087,0.873 ± 0.076,0.752 ± 0.161,0.721 ± 0.165,0.876 ± 0.080,0.893 ± 0.072,0.889 ± 0.065
HF,0.607 ± 0.200,0.785 ± 0.128,0.802 ± 0.124,0.657 ± 0.185,0.626 ± 0.196,0.813 ± 0.128,0.824 ± 0.114,0.828 ± 0.106
ApEn,0.608 ± 0.195,0.645 ± 0.203,0.642 ± 0.208,0.624 ± 0.179,0.623 ± 0.184,0.591 ± 0.216,0.642 ± 0.197,0.634 ± 0.211
SampEn,0.717 ± 0.156,0.759 ± 0.154,0.763 ± 0.152,0.712 ± 0.159,0.722 ± 0.150,0.705 ± 0.185,0.758 ± 0.159,0.760 ± 0.156
DFA α₁,0.611 ± 0.227,0.756 ± 0.201,0.772 ± 0.189,0.628 ± 0.238,0.616 ± 0.231,0.782 ± 0.177,0.783 ± 0.184,0.801 ± 0.175
DFA α₂,0.723 ± 0.178,0.904 ± 0.099,0.918 ± 0.086,0.787 ± 0.166,0.756 ± 0.178,0.911 ± 0.088,0.936 ± 0.073,0.928 ± 0.074
SD1,0.673 ± 0.217,0.777 ± 0.198,0.793 ± 0.188,0.689 ± 0.221,0.674 ± 0.226,0.745 ± 0.219,0.805 ± 0.182,0.808 ± 0.181
SD2,0.882 ± 0.135,0.972 ± 0.044,0.973 ± 0.041,0.901 ± 0.127,0.890 ± 0.132,0.969 ± 0.062,0.979 ± 0.033,0.978 ± 0.033
SD1/SD2,0.605 ± 0.230,0.754 ± 0.206,0.775 ± 0.183,0.643 ± 0.239,0.623 ± 0.240,0.780 ± 0.176,0.787 ± 0.184,0.810 ± 0.171
